ID,AGE,GENDER,EDUCATION,MARITAL_STATUS,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,REG_ADDRESS_PROVINCE,FACT_ADDRESS_PROVINCE,POSTAL_ADDRESS_PROVINCE,FL_PRESENCE_FL,OWN_AUTO
106814845,55,1,Среднее,Не состоял в браке,1,0,1,1,Бурятия,Бурятия,Бурятия,0,0
106814457,34,0,Высшее,Состою в браке,0,1,1,0,Краснодарский край,Краснодарский край,Краснодарский край,0,1
106809251,28,0,Среднее специальное,Состою в браке,1,1,1,0,Алтайский край,Алтайский край,Алтайский край,1,0
106810072,59,0,Неполное среднее,Состою в браке,3,0,1,0,Кемеровская область,Кемеровская область,Кемеровская область,0,0
106814933,47,1,Высшее,Не состоял в браке,1,0,1,0,Тульская область,Тульская область,Тульская область,1,0
106814139,41,1,Среднее,Разведен(а),2,2,1,0,Свердловская область,Свердловская область,Свердловская область,1,0
106814227,36,1,Среднее,Разведен(а),0,0,1,0,Псковская область,Псковская область,Псковская область,0,0
106807660,55,0,Среднее,Состою в браке,0,0,1,0,Краснодарский край,Краснодарский край,Краснодарский край,0,0
106808013,52,0,Среднее специальное,Не состоял в браке,1,0,1,0,Кемеровская область,Кемеровская область,Кемеровская область,1,0
106819134,46,0,Высшее,Состою в браке,2,0,1,0,Иркутская область,Иркутская область,Иркутская область,0,0
106804736,23,1,Среднее специальное,Состою в браке,1,1,1,0,Саратовская область,Саратовская область,Саратовская область,0,0
106816512,23,1,Среднее специальное,Состою в браке,0,0,1,0,Пензенская область,Пензенская область,Пензенская область,0,0
106812357,40,1,Высшее,Не состоял в браке,1,1,1,0,Пермская область,Пермская область,Пермская область,0,0
106806593,36,1,Среднее специальное,Разведен(а),3,3,1,0,Краснодарский край,Краснодарский край,Краснодарский край,0,0
106811597,23,0,Среднее,Состою в браке,1,1,1,0,Белгородская область,Белгородская область,Белгородская область,0,0
106808617,40,1,Высшее,Состою в браке,1,0,1,0,Коми,Коми,Коми,0,1
106814760,61,0,Среднее,Вдовец/Вдова,0,0,0,1,Тульская область,Тульская область,Тульская область,1,0
106812381,48,0,Среднее специальное,Состою в браке,0,0,1,0,Орловская область,Орловская область,Орловская область,0,0
106807036,52,1,Среднее,Состою в браке,0,0,1,0,Волгоградская область,Волгоградская область,Волгоградская область,0,0
106810826,41,0,Высшее,Состою в браке,1,1,1,0,Смоленская область,Смоленская область,Смоленская область,1,0
106816112,44,1,Среднее,Не состоял в браке,2,1,1,0,Рязанская область,Рязанская область,Рязанская область,1,1
106819731,58,1,Среднее специальное,Состою в браке,2,0,0,1,Алтайский край,Алтайский край,Алтайский край,0,0
106810415,36,1,Среднее специальное,Состою в браке,3,3,1,0,Липецкая область,Липецкая область,Липецкая область,0,0
106810352,42,0,Среднее специальное,Состою в браке,3,2,1,0,Ростовская область,Ростовская область,Ростовская область,0,0
106806638,22,1,Среднее специальное,Состою в браке,0,1,1,0,Ростовская область,Ростовская область,Ростовская область,0,0
106805151,49,1,Среднее специальное,Состою в браке,2,0,1,0,Калужская область,Калужская область,Калужская область,1,0
106820056,34,1,Высшее,Состою в браке,2,2,1,0,Читинская область,Читинская область,Читинская область,0,0
106810466,39,1,Среднее специальное,Состою в браке,2,2,1,0,Пензенская область,Пензенская область,Пензенская область,0,0
106806423,41,0,Среднее специальное,Не состоял в браке,1,1,1,0,Кемеровская область,Кемеровская область,Кемеровская область,1,0
106817975,63,1,Среднее,Разведен(а),2,0,0,1,Кабардино-Балкария,Кабардино-Балкария,Кабардино-Балкария,0,0
106808611,33,1,Среднее специальное,Состою в браке,1,1,1,0,Вологодская область,Вологодская область,Вологодская область,1,0
106805994,38,0,Высшее,Состою в браке,1,1,1,0,Карелия,Карелия,Карелия,0,0
106817206,29,1,Среднее специальное,Состою в браке,1,1,1,0,Новосибирская область,Новосибирская область,Новосибирская область,0,0
106817423,49,1,Среднее,Вдовец/Вдова,1,1,1,0,Пермская область,Пермская область,Пермская область,1,0
106807204,50,1,Среднее специальное,Состою в браке,2,0,1,0,Татарстан,Татарстан,Татарстан,1,0
106804641,48,0,Среднее,Состою в браке,0,0,1,0,Белгородская область,Белгородская область,Белгородская область,0,0
106812737,42,1,Среднее специальное,Состою в браке,2,2,1,0,Вологодская область,Вологодская область,Вологодская область,0,0
106812468,39,0,Высшее,Состою в браке,1,1,1,0,Калужская область,Калужская область,Калужская область,0,0
106814189,61,1,Высшее,Не состоял в браке,0,0,1,0,Краснодарский край,Краснодарский край,Краснодарский край,0,0
106805078,42,1,Среднее,Вдовец/Вдова,2,2,1,0,Псковская область,Псковская область,Псковская область,0,0
106813497,23,1,Высшее,Не состоял в браке,0,0,1,0,Краснодарский край,Краснодарский край,Краснодарский край,0,0
106818121,28,1,Высшее,Не состоял в браке,0,0,1,0,Читинская область,Читинская область,Читинская область,0,0
106812203,56,1,Высшее,Вдовец/Вдова,0,0,1,1,Хабаровский край,Хабаровский край,Хабаровский край,0,0
106814506,28,1,Высшее,Состою в браке,1,1,1,0,Удмуртия,Удмуртия,Удмуртия,0,0
106806141,27,0,Среднее,Состою в браке,1,1,1,0,Самарская область,Самарская область,Самарская область,0,0
106818400,46,1,Среднее,Не состоял в браке,1,0,1,0,Костромская область,Костромская область,Костромская область,0,0
106813016,38,1,Среднее специальное,Состою в браке,1,1,1,0,Калужская область,Калужская область,Калужская область,1,0
106812663,35,1,Среднее,Состою в браке,2,2,1,0,Татарстан,Татарстан,Татарстан,1,0
106816718,37,1,Высшее,Состою в браке,1,1,1,0,Тверская область,Тверская область,Тверская область,0,1
106819222,49,0,Среднее,Состою в браке,2,1,1,0,Тамбовская область,Тамбовская область,Тамбовская область,0,0
106818069,37,0,Среднее,Состою в браке,3,3,1,0,Орловская область,Орловская область,Орловская область,0,1
106805000,36,1,Среднее специальное,Разведен(а),2,2,1,0,Самарская область,Самарская область,Самарская область,1,0
106820194,45,0,Высшее,Состою в браке,0,0,1,0,Волгоградская область,Волгоградская область,Волгоградская область,0,0
106805886,51,0,Среднее специальное,Не состоял в браке,2,0,1,0,Челябинская область,Челябинская область,Челябинская область,0,0
106817456,47,1,Высшее,Состою в браке,0,0,1,0,Омская область,Омская область,Омская область,0,0
106819251,46,1,Среднее специальное,Состою в браке,0,0,1,0,Воронежская область,Воронежская область,Воронежская область,0,0
106810057,28,1,Высшее,Разведен(а),1,1,1,0,Волгоградская область,Волгоградская область,Волгоградская область,1,0
106805706,53,1,Высшее,Не состоял в браке,2,0,1,0,Приморский край,Приморский край,Приморский край,1,0
106814104,26,0,Среднее,Состою в браке,1,1,1,0,Пензенская область,Пензенская область,Пензенская область,1,0
106820112,34,1,Среднее,Состою в браке,1,1,1,0,Кемеровская область,Кемеровская область,Кемеровская область,1,0
106814865,61,0,Высшее,Состою в браке,4,0,1,0,Краснодарский край,Краснодарский край,Краснодарский край,0,0
106805710,48,1,Среднее,Состою в браке,2,0,1,0,Кабардино-Балкария,Кабардино-Балкария,Кабардино-Балкария,0,0
106806150,30,1,Среднее специальное,Не состоял в браке,1,1,1,0,Свердловская область,Свердловская область,Свердловская область,0,0
106812901,22,0,Среднее специальное,Состою в браке,1,0,1,0,Московская область,Московская область,Московская область,0,1
106806620,53,1,Высшее,Состою в браке,2,0,1,0,Тамбовская область,Тамбовская область,Тамбовская область,1,0
106806921,56,1,Среднее специальное,Состою в браке,1,0,1,0,Брянская область,Брянская область,Брянская область,0,0
106810642,54,0,Среднее,Гражданский брак,2,0,1,0,Омская область,Омская область,Омская область,0,1
106816522,40,0,Среднее специальное,Состою в браке,1,1,1,0,Чувашия,Чувашия,Чувашия,0,0
106816762,56,0,Среднее специальное,Состою в браке,1,0,0,1,Воронежская область,Воронежская область,Воронежская область,0,0
106806936,46,1,Высшее,Состою в браке,0,0,1,0,Приморский край,Приморский край,Приморский край,1,0
106806424,52,1,Среднее специальное,Состою в браке,0,0,1,0,Санкт-Петербург,Санкт-Петербург,Санкт-Петербург,0,0
106809188,32,0,Среднее,Состою в браке,2,2,1,0,Смоленская область,Смоленская область,Смоленская область,0,0
106812564,59,0,Высшее,Состою в браке,1,0,0,1,Костромская область,Костромская область,Костромская область,1,0
106816934,35,0,Среднее,Состою в браке,1,1,1,0,Кемеровская область,Кемеровская область,Кемеровская область,1,0
106819634,57,1,Среднее специальное,Вдовец/Вдова,0,0,0,1,Кемеровская область,Кемеровская область,Кемеровская область,0,0
106806610,26,0,Неоконченное высшее,Не состоял в браке,0,0,1,0,Татарстан,Татарстан,Татарстан,0,0
106817951,39,0,Среднее специальное,Гражданский брак,1,1,1,0,Красноярский край,Красноярский край,Красноярский край,0,0
106819061,40,1,Среднее,Состою в браке,3,2,1,0,Орловская область,Орловская область,Орловская область,1,0
106804671,57,0,Среднее,Состою в браке,3,0,1,0,Краснодарский край,Краснодарский край,Краснодарский край,0,1
106814172,60,1,Среднее,Состою в браке,1,1,1,0,Калининградская область,Калининградская область,Калининградская область,1,0
106815073,45,1,Среднее,Состою в браке,0,0,1,0,Воронежская область,Воронежская область,Воронежская область,0,0
106811912,40,0,Неоконченное высшее,Состою в браке,2,2,1,0,Якутия,Якутия,Якутия,0,0
106810012,38,0,Высшее,Состою в браке,1,0,1,0,Саратовская область,Саратовская область,Саратовская область,0,0
106807427,22,0,Неоконченное высшее,Не состоял в браке,0,0,1,0,Новосибирская область,Новосибирская область,Новосибирская область,0,1
106816469,49,0,Среднее,Состою в браке,3,0,1,0,Рязанская область,Рязанская область,Рязанская область,1,0
106811299,53,1,Среднее,Гражданский брак,1,0,0,1,Тульская область,Тульская область,Тульская область,1,0
106819639,43,1,Среднее специальное,Не состоял в браке,0,0,1,0,Свердловская область,Свердловская область,Свердловская область,0,0
106815334,40,1,Среднее специальное,Состою в браке,1,0,1,0,Ростовская область,Ростовская область,Ростовская область,0,0
106814297,57,0,Среднее,Состою в браке,3,0,1,0,Омская область,Омская область,Омская область,1,1
106811711,34,0,Высшее,Не состоял в браке,0,0,1,0,Приморский край,Приморский край,Приморский край,0,0
106811459,56,1,Среднее,Разведен(а),1,0,1,1,Саратовская область,Саратовская область,Саратовская область,1,0
106812144,32,1,Среднее специальное,Состою в браке,2,2,1,0,Кемеровская область,Кемеровская область,Кемеровская область,0,0
106817687,23,1,Неоконченное высшее,Не состоял в браке,0,0,1,0,Приморский край,Приморский край,Приморский край,0,0
106816836,54,1,Среднее специальное,Не состоял в браке,0,0,0,1,Челябинская область,Челябинская область,Челябинская область,1,0
106811316,33,1,Среднее специальное,Состою в браке,1,1,1,0,Пензенская область,Пензенская область,Пензенская область,0,0
106815752,33,0,Среднее,Состою в браке,1,2,1,0,Воронежская область,Воронежская область,Воронежская область,0,0
106807891,23,0,Среднее специальное,Не состоял в браке,0,0,1,0,Ярославская область,Ярославская область,Ярославская область,0,0
106811188,34,0,Высшее,Состою в браке,1,1,1,0,Башкирия,Башкирия,Башкирия,1,1
106811365,64,1,Среднее специальное,Не состоял в браке,2,0,0,1,Читинская область,Читинская область,Читинская область,0,0
106814610,37,1,Высшее,Состою в браке,2,2,1,0,Краснодарский край,Краснодарский край,Краснодарский край,0,0
106808509,44,1,Среднее специальное,Состою в браке,3,0,1,0,Бурятия,Бурятия,Бурятия,0,0
106814770,26,0,Среднее,Состою в браке,1,1,1,0,Свердловская область,Свердловская область,Свердловская область,0,0
106816257,43,1,Среднее специальное,Разведен(а),2,2,1,0,Краснодарский край,Краснодарский край,Краснодарский край,0,0
106807162,49,1,Среднее специальное,Состою в браке,1,0,1,0,Мурманская область,Мурманская область,Мурманская область,1,0
106819893,24,0,Среднее специальное,Состою в браке,1,1,1,0,Омская область,Приморский край,Приморский край,0,0
106809388,44,1,Среднее специальное,Разведен(а),1,0,1,0,Ивановская область,Ивановская область,Ивановская область,0,0
106810894,60,1,Среднее специальное,Состою в браке,0,0,1,0,Московская область,Московская область,Московская область,0,0
106819572,34,1,Среднее специальное,Состою в браке,1,1,1,0,Свердловская область,Свердловская область,Свердловская область,0,0
106811545,53,1,Среднее специальное,Вдовец/Вдова,0,0,1,0,Ставропольский край,Ставропольский край,Ставропольский край,0,0
106818441,56,1,Среднее,Разведен(а),3,0,1,0,Вологодская область,Вологодская область,Вологодская область,1,0
106811966,49,1,Среднее специальное,Состою в браке,2,1,1,0,Воронежская область,Воронежская область,Воронежская область,0,0
106804872,49,1,Среднее специальное,Разведен(а),0,0,1,0,Тюменская область,Тюменская область,Тюменская область,0,0
106808107,34,1,Среднее специальное,Вдовец/Вдова,2,1,0,1,Пермская область,Пермская область,Пермская область,0,0
106814604,41,1,Среднее специальное,Состою в браке,4,2,1,0,Свердловская область,Свердловская область,Свердловская область,0,1
106813879,26,1,Высшее,Состою в браке,0,0,1,0,Горный Алтай,Горный Алтай,Горный Алтай,0,0
106805418,40,1,Высшее,Состою в браке,1,0,1,0,Самарская область,Самарская область,Самарская область,1,0
106810698,42,1,Среднее специальное,Состою в браке,2,1,1,0,Кабардино-Балкария,Кабардино-Балкария,Кабардино-Балкария,0,0
106806410,37,1,Среднее специальное,Разведен(а),1,1,1,0,Архангельская область,Архангельская область,Архангельская область,0,0
106819399,38,1,Среднее специальное,Состою в браке,1,1,1,0,Волгоградская область,Волгоградская область,Волгоградская область,0,0
106808678,45,1,Среднее специальное,Состою в браке,1,1,1,0,Кемеровская область,Кемеровская область,Кемеровская область,1,0
106816860,49,1,Среднее,Состою в браке,2,0,1,0,Алтайский край,Алтайский край,Алтайский край,0,0
106808318,39,1,Среднее,Состою в браке,1,1,1,0,Псковская область,Псковская область,Псковская область,0,0
106807648,36,1,Высшее,Разведен(а),1,1,1,0,Новосибирская область,Новосибирская область,Новосибирская область,0,1
106812981,42,0,Среднее,Состою в браке,2,0,1,0,Омская область,Омская область,Омская область,0,1
106811153,29,0,Среднее специальное,Состою в браке,1,1,1,0,Кировская область,Кировская область,Кировская область,0,0
106812821,45,1,Высшее,Состою в браке,2,0,1,0,Саратовская область,Саратовская область,Саратовская область,1,0
106815764,51,1,Среднее специальное,Состою в браке,2,0,1,0,Тульская область,Тульская область,Тульская область,1,0
106804942,56,1,Среднее специальное,Состою в браке,0,0,1,0,Смоленская область,Смоленская область,Смоленская область,0,0
106818206,33,0,Высшее,Состою в браке,1,1,1,0,Омская область,Омская область,Омская область,1,0
106806144,24,1,Среднее специальное,Состою в браке,0,0,1,0,Ленинградская область,Ленинградская область,Ленинградская область,1,0
106806912,46,0,Среднее специальное,Состою в браке,2,2,1,0,Кемеровская область,Кемеровская область,Кемеровская область,1,0
106806985,39,0,Среднее,Состою в браке,1,1,1,0,Санкт-Петербург,Санкт-Петербург,Санкт-Петербург,0,0
106804943,49,0,Высшее,Состою в браке,2,1,1,0,Московская область,Московская область,Московская область,0,0
106817836,49,1,Среднее,Не состоял в браке,0,0,1,0,Северная Осетия,Северная Осетия,Северная Осетия,1,0
106810703,49,0,Высшее,Состою в браке,2,0,1,1,Алтайский край,Алтайский край,Алтайский край,1,0
106817121,26,0,Среднее,Состою в браке,1,1,1,0,Томская область,Томская область,Томская область,0,0
106816701,61,0,Среднее,Состою в браке,0,0,0,1,Кировская область,Кировская область,Кировская область,0,0
106805154,42,0,Среднее специальное,Состою в браке,1,1,1,0,Хабаровский край,Хабаровский край,Хабаровский край,0,0
106819921,63,1,Среднее специальное,Состою в браке,0,0,1,1,Хабаровский край,Хабаровский край,Хабаровский край,1,0
106815682,39,1,Среднее,Состою в браке,1,0,1,0,Калужская область,Калужская область,Калужская область,0,0
106809017,52,1,Среднее специальное,Состою в браке,1,0,1,0,Московская область,Московская область,Московская область,0,0
106814257,38,1,Неоконченное высшее,Не состоял в браке,1,1,1,0,Алтайский край,Алтайский край,Алтайский край,0,0
106807824,49,1,Среднее специальное,Состою в браке,1,1,1,0,Смоленская область,Смоленская область,Смоленская область,1,0
106811535,51,1,Среднее специальное,Состою в браке,2,2,0,1,Липецкая область,Липецкая область,Липецкая область,0,0
106807897,60,1,Среднее специальное,Состою в браке,2,0,1,0,Алтайский край,Алтайский край,Алтайский край,1,0
106818469,42,1,Среднее,Состою в браке,1,1,1,0,Смоленская область,Смоленская область,Смоленская область,1,0
106813047,57,1,Среднее специальное,Вдовец/Вдова,3,0,0,1,Горный Алтай,Горный Алтай,Горный Алтай,0,0
106806507,41,1,Среднее специальное,Состою в браке,2,1,1,0,Тюменская область,Тюменская область,Тюменская область,1,0
106819887,26,1,Среднее специальное,Состою в браке,1,1,1,0,Башкирия,Башкирия,Башкирия,1,0
106807479,47,1,Высшее,Не состоял в браке,2,1,1,0,Курганская область,Курганская область,Курганская область,1,0
106810173,34,1,Высшее,Состою в браке,1,1,1,0,Саратовская область,Саратовская область,Саратовская область,0,0
106811844,32,1,Среднее специальное,Состою в браке,2,2,1,0,Липецкая область,Липецкая область,Липецкая область,0,0
106818038,38,1,Высшее,Не состоял в браке,2,0,1,0,Челябинская область,Челябинская область,Челябинская область,1,1
106813576,26,1,Среднее специальное,Разведен(а),1,1,1,0,Владимирская область,Владимирская область,Владимирская область,0,0
106814176,39,0,Неоконченное высшее,Не состоял в браке,1,1,1,0,Кемеровская область,Кемеровская область,Кемеровская область,0,0
106816468,35,0,Неоконченное высшее,Состою в браке,1,1,1,0,Бурятия,Бурятия,Бурятия,0,0
106806285,37,0,Среднее специальное,Состою в браке,1,0,1,0,Камчатская область,Камчатская область,Камчатская область,0,0
106813641,22,1,Среднее специальное,Не состоял в браке,0,0,1,0,Вологодская область,Вологодская область,Вологодская область,0,0
106815192,61,0,Среднее,Состою в браке,2,0,0,1,Омская область,Омская область,Омская область,1,1
106807907,36,0,Среднее специальное,Состою в браке,3,3,1,0,Свердловская область,Свердловская область,Свердловская область,1,0
106816937,27,1,Среднее специальное,Не состоял в браке,1,1,1,0,Коми,Коми,Коми,1,0
106807763,43,0,Высшее,Состою в браке,1,0,1,0,Самарская область,Самарская область,Самарская область,0,1
106817923,60,1,Среднее,Состою в браке,4,2,1,0,Омская область,Омская область,Омская область,1,1
106805360,38,1,Высшее,Состою в браке,2,2,1,0,Алтайский край,Алтайский край,Алтайский край,0,1
106807710,42,1,Среднее специальное,Состою в браке,2,0,1,0,Курганская область,Курганская область,Курганская область,1,0
106811945,23,0,Высшее,Не состоял в браке,0,0,1,0,Алтайский край,Алтайский край,Алтайский край,1,0
106815074,31,0,Высшее,Состою в браке,1,1,1,0,Вологодская область,Вологодская область,Вологодская область,1,0
106819484,63,1,Среднее,Не состоял в браке,0,0,0,1,Воронежская область,Воронежская область,Воронежская область,1,0
106806435,27,1,Среднее специальное,Состою в браке,1,1,1,0,Ростовская область,Ростовская область,Ростовская область,1,0
106816256,39,1,Среднее специальное,Состою в браке,1,1,1,0,Кемеровская область,Кемеровская область,Кемеровская область,1,0
106810622,43,1,Среднее специальное,Вдовец/Вдова,2,2,1,0,Башкирия,Башкирия,Башкирия,1,0
106807369,60,1,Среднее,Состою в браке,2,0,0,1,Воронежская область,Воронежская область,Воронежская область,0,0
106807258,33,1,Среднее специальное,Не состоял в браке,0,0,1,0,Москва,Москва,Москва,1,0
106813160,49,1,Среднее специальное,Состою в браке,1,0,1,0,Пензенская область,Пензенская область,Пензенская область,0,0
106804847,26,0,Среднее специальное,Состою в браке,1,1,1,0,Костромская область,Костромская область,Костромская область,0,0
106815457,38,0,Среднее,Состою в браке,1,1,1,0,Читинская область,Читинская область,Читинская область,0,0
106812649,27,1,Среднее специальное,Состою в браке,1,1,1,0,Удмуртия,Удмуртия,Удмуртия,0,0
106814855,36,1,Высшее,Разведен(а),1,1,1,0,Приморский край,Приморский край,Приморский край,0,0
106816528,42,1,Среднее специальное,Состою в браке,2,1,1,0,Белгородская область,Белгородская область,Белгородская область,0,0
106820119,35,0,Среднее,Состою в браке,0,0,1,0,Ямало-Ненецкий АО,Ямало-Ненецкий АО,Ямало-Ненецкий АО,1,0
106819046,46,1,Среднее,Состою в браке,0,0,1,0,Курганская область,Курганская область,Курганская область,0,1
106808428,27,0,Среднее специальное,Не состоял в браке,1,1,1,0,Татарстан,Татарстан,Татарстан,0,0
