GEN_INDUSTRY,GEN_TITLE,JOB_DIR,WORK_TIME,ID_CLIENT
Торговля,Работник сферы услуг,Участие в основ. деятельности,120.0,106804420
Государственная служба,Военнослужащий по контракту,Участие в основ. деятельности,14.0,106804421
Строительство,Высококвалифиц. специалист,Участие в основ. деятельности,14.0,106804422
,,,,106804423
Строительство,Специалист,Участие в основ. деятельности,36.0,106804424
Сельское хозяйство,Рабочий,Участие в основ. деятельности,324.0,106804425
,,,,106804426
Образование,Специалист,Участие в основ. деятельности,29.0,106804427
Государственная служба,Военнослужащий по контракту,Участие в основ. деятельности,96.0,106804428
Торговля,Рабочий,Участие в основ. деятельности,12.0,106804429
Торговля,Рабочий,Участие в основ. деятельности,24.0,106804430
,,,,106804431
Здравоохранение,Специалист,Участие в основ. деятельности,72.0,106804432
,,,,106804433
Сельское хозяйство,Рабочий,Участие в основ. деятельности,360.0,106804434
Металлургия/Промышленность/Машиностроение,Служащий,Участие в основ. деятельности,180.0,106804435
Государственная служба,Рабочий,Пр-техн. обесп. и телеком.,108.0,106804436
,,,,106804437
Транспорт,Рабочий,Участие в основ. деятельности,48.0,106804438
Другие сферы,Специалист,Участие в основ. деятельности,36.0,106804439
Государственная служба,Специалист,Участие в основ. деятельности,4.0,106804440
Сельское хозяйство,Специалист,Участие в основ. деятельности,120.0,106804441
Государственная служба,Военнослужащий по контракту,Участие в основ. деятельности,96.0,106804442
Металлургия/Промышленность/Машиностроение,Рабочий,Вспомогательный техперсонал,60.0,106804443
Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,24.0,106804444
Страхование,Специалист,Участие в основ. деятельности,60.0,106804445
Другие сферы,Руководитель среднего звена,Участие в основ. деятельности,252.0,106804446
Государственная служба,Специалист,Участие в основ. деятельности,24.0,106804447
Нефтегазовая промышленность,Специалист,Участие в основ. деятельности,120.0,106804448
Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,12.0,106804449
Банк/Финансы,Специалист,"Бухгалтерия, финансы, планир.",28.0,106804450
Коммунальное хоз-во/Дорожные службы,Рабочий,Участие в основ. деятельности,300.0,106804451
СМИ/Реклама/PR-агенства,Высококвалифиц. специалист,"Бухгалтерия, финансы, планир.",12.0,106804452
Транспорт,Специалист,Участие в основ. деятельности,4.0,106804453
Торговля,Рабочий,Участие в основ. деятельности,12.0,106804454
Сельское хозяйство,Руководитель среднего звена,Участие в основ. деятельности,36.0,106804455
Ресторанный бизнес/Общественное питание,Специалист,Участие в основ. деятельности,12.0,106804456
Другие сферы,Специалист,Участие в основ. деятельности,72.0,106804457
Другие сферы,Рабочий,Участие в основ. деятельности,12.0,106804458
Образование,Рабочий,Вспомогательный техперсонал,48.0,106804459
Сельское хозяйство,Рабочий,Участие в основ. деятельности,24.0,106804460
Другие сферы,Рабочий,Участие в основ. деятельности,192.0,106804461
Другие сферы,Работник сферы услуг,Участие в основ. деятельности,196.0,106804462
Государственная служба,Рабочий,Участие в основ. деятельности,24.0,106804463
Энергетика,Руководитель низшего звена,Снабжение и сбыт,94.0,106804464
Строительство,Руководитель высшего звена,Участие в основ. деятельности,108.0,106804465
Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,25.0,106804466
Здравоохранение,Другое,Участие в основ. деятельности,190.0,106804467
Сельское хозяйство,Специалист,"Бухгалтерия, финансы, планир.",348.0,106804468
Другие сферы,Рабочий,Вспомогательный техперсонал,96.0,106804469
Государственная служба,Руководитель среднего звена,Участие в основ. деятельности,120.0,106804470
Другие сферы,Специалист,Участие в основ. деятельности,10.0,106804471
Торговля,Служащий,Участие в основ. деятельности,205.0,106804472
Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,62.0,106804473
,,,,106804474
Государственная служба,Специалист,Участие в основ. деятельности,14.0,106804475
,,,,106804476
Сельское хозяйство,Рабочий,Участие в основ. деятельности,12.0,106804477
Энергетика,Рабочий,Участие в основ. деятельности,19.0,106804478
Другие сферы,Рабочий,Участие в основ. деятельности,48.0,106804479
,,,,106804480
Государственная служба,Военнослужащий по контракту,Участие в основ. деятельности,180.0,106804481
Здравоохранение,Работник сферы услуг,Участие в основ. деятельности,120.0,106804482
Другие сферы,Высококвалифиц. специалист,Участие в основ. деятельности,252.0,106804483
Образование,Служащий,Участие в основ. деятельности,24.0,106804484
Строительство,Служащий,Вспомогательный техперсонал,36.0,106804485
Государственная служба,Служащий,Служба безопасности,120.0,106804486
Образование,Специалист,Участие в основ. деятельности,120.0,106804487
Нефтегазовая промышленность,Специалист,Пр-техн. обесп. и телеком.,156.0,106804488
Строительство,Руководитель низшего звена,Участие в основ. деятельности,16.0,106804489
Государственная служба,Специалист,Участие в основ. деятельности,84.0,106804490
Банк/Финансы,Служащий,Участие в основ. деятельности,12.0,106804491
Сельское хозяйство,Служащий,Участие в основ. деятельности,38.0,106804492
Торговля,Рабочий,Участие в основ. деятельности,72.0,106804493
Транспорт,Специалист,Участие в основ. деятельности,144.0,106804494
,,,,106804495
Образование,Специалист,Участие в основ. деятельности,216.0,106804496
Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,36.0,106804497
Другие сферы,Специалист,Участие в основ. деятельности,72.0,106804498
Транспорт,Рабочий,Участие в основ. деятельности,15.0,106804499
Салоны красоты и здоровья,Специалист,Участие в основ. деятельности,70.0,106804500
Торговля,Работник сферы услуг,Участие в основ. деятельности,10.0,106804501
Другие сферы,Рабочий,Участие в основ. деятельности,24.0,106804502
ЧОП/Детективная д-ть,Специалист,Участие в основ. деятельности,48.0,106804503
Другие сферы,Служащий,Участие в основ. деятельности,228.0,106804504
Коммунальное хоз-во/Дорожные службы,Рабочий,Участие в основ. деятельности,126.0,106804505
Государственная служба,Рабочий,Участие в основ. деятельности,3.0,106804506
Коммунальное хоз-во/Дорожные службы,Специалист,Участие в основ. деятельности,24.0,106804507
Торговля,Высококвалифиц. специалист,"Бухгалтерия, финансы, планир.",24.0,106804508
Торговля,Высококвалифиц. специалист,"Бухгалтерия, финансы, планир.",18.0,106804509
Ресторанный бизнес/Общественное питание,Рабочий,Вспомогательный техперсонал,120.0,106804510
Другие сферы,Специалист,Вспомогательный техперсонал,48.0,106804511
,,,,106804512
Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,60.0,106804513
Другие сферы,Специалист,Участие в основ. деятельности,120.0,106804514
Здравоохранение,Рабочий,Участие в основ. деятельности,312.0,106804515
Развлечения/Искусство,Специалист,"Бухгалтерия, финансы, планир.",28.0,106804516
Государственная служба,Руководитель среднего звена,Участие в основ. деятельности,42.0,106804517
Здравоохранение,Специалист,Участие в основ. деятельности,360.0,106804518
Образование,Рабочий,Участие в основ. деятельности,13.0,106804519
Торговля,Специалист,"Бухгалтерия, финансы, планир.",30.0,106804520
Коммунальное хоз-во/Дорожные службы,Специалист,Участие в основ. деятельности,420.0,106804521
Сельское хозяйство,Руководитель высшего звена,"Бухгалтерия, финансы, планир.",7.0,106804522
Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,108.0,106804523
Государственная служба,Служащий,Вспомогательный техперсонал,48.0,106804524
Сельское хозяйство,Рабочий,Участие в основ. деятельности,360.0,106804525
Сельское хозяйство,Рабочий,Вспомогательный техперсонал,180.0,106804526
Наука,Специалист,Участие в основ. деятельности,180.0,106804527
Нефтегазовая промышленность,Специалист,Участие в основ. деятельности,24.0,106804528
Строительство,Специалист,Снабжение и сбыт,12.0,106804529
Здравоохранение,Руководитель высшего звена,Участие в основ. деятельности,120.0,106804530
Транспорт,Специалист,Участие в основ. деятельности,240.0,106804531
Транспорт,Специалист,Участие в основ. деятельности,216.0,106804532
Металлургия/Промышленность/Машиностроение,Специалист,Вспомогательный техперсонал,84.0,106804533
Торговля,Рабочий,Участие в основ. деятельности,85.0,106804534
Строительство,Руководитель среднего звена,Участие в основ. деятельности,27.0,106804535
Другие сферы,Рабочий,Участие в основ. деятельности,336.0,106804536
Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,40.0,106804537
Ресторанный бизнес/Общественное питание,Рабочий,Участие в основ. деятельности,36.0,106804538
Транспорт,Специалист,Участие в основ. деятельности,36.0,106804539
Сельское хозяйство,Специалист,Участие в основ. деятельности,12.0,106804540
Нефтегазовая промышленность,Специалист,Участие в основ. деятельности,12.0,106804541
Здравоохранение,Рабочий,Участие в основ. деятельности,468.0,106804542
Сельское хозяйство,Рабочий,Вспомогательный техперсонал,96.0,106804543
Торговля,Специалист,Участие в основ. деятельности,24.0,106804544
Государственная служба,Военнослужащий по контракту,Участие в основ. деятельности,60.0,106804545
Торговля,Рабочий,Вспомогательный техперсонал,6.0,106804546
Металлургия/Промышленность/Машиностроение,Руководитель среднего звена,Участие в основ. деятельности,120.0,106804547
Здравоохранение,Рабочий,Участие в основ. деятельности,36.0,106804548
Химия/Парфюмерия/Фармацевтика,Рабочий,Участие в основ. деятельности,18.0,106804549
Сельское хозяйство,Руководитель среднего звена,Адм-хоз. и трансп. службы,72.0,106804550
Образование,Руководитель высшего звена,Адм-хоз. и трансп. службы,410.0,106804551
Другие сферы,Рабочий,Вспомогательный техперсонал,48.0,106804552
,,,,106804553
Другие сферы,Работник сферы услуг,Участие в основ. деятельности,168.0,106804554
Образование,Специалист,Участие в основ. деятельности,60.0,106804555
Строительство,Рабочий,Вспомогательный техперсонал,12.0,106804556
Сельское хозяйство,Рабочий,Участие в основ. деятельности,23.0,106804557
Государственная служба,Специалист,Участие в основ. деятельности,18.0,106804558
Другие сферы,Специалист,Участие в основ. деятельности,84.0,106804559
Образование,Специалист,Адм-хоз. и трансп. службы,36.0,106804560
,,,,106804561
Другие сферы,Специалист,Участие в основ. деятельности,12.0,106804562
,,,,106804563
Государственная служба,Работник сферы услуг,Участие в основ. деятельности,96.0,106804564
Нефтегазовая промышленность,Высококвалифиц. специалист,Участие в основ. деятельности,60.0,106804565
Торговля,Специалист,Снабжение и сбыт,24.0,106804566
,,,,106804567
Другие сферы,Рабочий,Вспомогательный техперсонал,6.0,106804568
Развлечения/Искусство,Специалист,Участие в основ. деятельности,36.0,106804569
Другие сферы,Специалист,Участие в основ. деятельности,50.0,106804570
Торговля,Служащий,Участие в основ. деятельности,1.0,106804571
Торговля,Рабочий,Участие в основ. деятельности,36.0,106804572
Другие сферы,Служащий,Участие в основ. деятельности,30.0,106804573
Торговля,Специалист,Участие в основ. деятельности,48.0,106804574
ЧОП/Детективная д-ть,Служащий,Адм-хоз. и трансп. службы,24.0,106804575
Образование,Служащий,Вспомогательный техперсонал,96.0,106804576
Торговля,Рабочий,Участие в основ. деятельности,36.0,106804577
Строительство,Специалист,Адм-хоз. и трансп. службы,7.0,106804578
Государственная служба,Служащий,Участие в основ. деятельности,38.0,106804579
Здравоохранение,Высококвалифиц. специалист,Участие в основ. деятельности,18.0,106804580
Здравоохранение,Специалист,Участие в основ. деятельности,240.0,106804581
Торговля,Работник сферы услуг,Участие в основ. деятельности,60.0,106804582
Транспорт,Рабочий,Участие в основ. деятельности,288.0,106804583
Другие сферы,Руководитель среднего звена,Служба безопасности,72.0,106804584
Государственная служба,Военнослужащий по контракту,Участие в основ. деятельности,60.0,106804585
Образование,Рабочий,Участие в основ. деятельности,60.0,106804586
Коммунальное хоз-во/Дорожные службы,Специалист,Участие в основ. деятельности,8.0,106804587
Государственная служба,Военнослужащий по контракту,Участие в основ. деятельности,36.0,106804588
Государственная служба,Специалист,Участие в основ. деятельности,120.0,106804589
Торговля,Работник сферы услуг,Участие в основ. деятельности,60.0,106804590
,,,,106804591
Транспорт,Служащий,Участие в основ. деятельности,7.0,106804592
Торговля,Рабочий,Участие в основ. деятельности,12.0,106804593
Коммунальное хоз-во/Дорожные службы,Рабочий,Участие в основ. деятельности,12.0,106804594
Транспорт,Рабочий,Участие в основ. деятельности,216.0,106804595
Коммунальное хоз-во/Дорожные службы,Руководитель среднего звена,Участие в основ. деятельности,288.0,106804596
Другие сферы,Рабочий,Адм-хоз. и трансп. службы,216.0,106804597
Здравоохранение,Высококвалифиц. специалист,Участие в основ. деятельности,49.0,106804598
Образование,Специалист,Участие в основ. деятельности,60.0,106804599
Нефтегазовая промышленность,Специалист,Участие в основ. деятельности,27.0,106804600
Другие сферы,Специалист,Участие в основ. деятельности,36.0,106804601
Торговля,Специалист,Участие в основ. деятельности,96.0,106804602
,,,,106804603
Сельское хозяйство,Специалист,Участие в основ. деятельности,53.0,106804604
Транспорт,Специалист,Участие в основ. деятельности,84.0,106804605
Образование,Высококвалифиц. специалист,Участие в основ. деятельности,120.0,106804606
Торговля,Руководитель высшего звена,"Бухгалтерия, финансы, планир.",84.0,106804607
Салоны красоты и здоровья,Специалист,Участие в основ. деятельности,84.0,106804608
Торговля,Руководитель высшего звена,Участие в основ. деятельности,18.0,106804609
Строительство,Специалист,Участие в основ. деятельности,72.0,106804610
Торговля,Рабочий,Участие в основ. деятельности,5.0,106804611
Сельское хозяйство,Рабочий,Участие в основ. деятельности,480.0,106804612
Торговля,Руководитель высшего звена,Участие в основ. деятельности,36.0,106804613
Торговля,Высококвалифиц. специалист,Участие в основ. деятельности,120.0,106804614
Образование,Рабочий,Участие в основ. деятельности,228.0,106804615
Другие сферы,Рабочий,Участие в основ. деятельности,204.0,106804616
Ресторанный бизнес/Общественное питание,Специалист,Участие в основ. деятельности,97.0,106804617
Торговля,Рабочий,Участие в основ. деятельности,144.0,106804618
Образование,Рабочий,Участие в основ. деятельности,120.0,106804619
Химия/Парфюмерия/Фармацевтика,Рабочий,Участие в основ. деятельности,192.0,106804620
Торговля,Руководитель высшего звена,Участие в основ. деятельности,24.0,106804621
Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,12.0,106804622
Другие сферы,Специалист,Участие в основ. деятельности,8.0,106804623
Другие сферы,Рабочий,Участие в основ. деятельности,156.0,106804624
Сборочные производства,Специалист,Вспомогательный техперсонал,144.0,106804625
Торговля,Служащий,Участие в основ. деятельности,13.0,106804626
Ресторанный бизнес/Общественное питание,Специалист,Вспомогательный техперсонал,84.0,106804627
Сельское хозяйство,Рабочий,Участие в основ. деятельности,132.0,106804628
Здравоохранение,Высококвалифиц. специалист,Участие в основ. деятельности,26.0,106804629
Государственная служба,Специалист,Участие в основ. деятельности,60.0,106804630
Сельское хозяйство,Индивидуальный предприниматель,Участие в основ. деятельности,96.0,106804631
Другие сферы,Специалист,"Бухгалтерия, финансы, планир.",60.0,106804632
,,,,106804633
,,,,106804634
Энергетика,Специалист,Участие в основ. деятельности,12.0,106804635
Государственная служба,Высококвалифиц. специалист,Участие в основ. деятельности,42.0,106804636
,,,,106804637
Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,8.0,106804638
Другие сферы,Специалист,Участие в основ. деятельности,4.0,106804639
Транспорт,Специалист,Участие в основ. деятельности,396.0,106804640
Сельское хозяйство,Специалист,Участие в основ. деятельности,3.0,106804641
Другие сферы,Рабочий,Участие в основ. деятельности,252.0,106804642
,,,,106804643
,,,,106804644
Развлечения/Искусство,Руководитель низшего звена,Участие в основ. деятельности,60.0,106804645
Энергетика,Руководитель высшего звена,Участие в основ. деятельности,36.0,106804646
,,,,106804647
Здравоохранение,Специалист,Участие в основ. деятельности,2.0,106804648
Туризм,Рабочий,Участие в основ. деятельности,1.0,106804649
Нефтегазовая промышленность,Специалист,Участие в основ. деятельности,4.0,106804650
,,,,106804651
,,,,106804652
Государственная служба,Служащий,Служба безопасности,72.0,106804653
,,,,106804654
Нефтегазовая промышленность,Специалист,Участие в основ. деятельности,216.0,106804655
Транспорт,Специалист,Участие в основ. деятельности,144.0,106804656
Здравоохранение,Специалист,Участие в основ. деятельности,84.0,106804657
Юридические услуги/нотариальные услуги,Индивидуальный предприниматель,Участие в основ. деятельности,24.0,106804658
Сборочные производства,Специалист,Участие в основ. деятельности,36.0,106804659
,,,,106804660
Туризм,Рабочий,Участие в основ. деятельности,36.0,106804661
Другие сферы,Руководитель среднего звена,Участие в основ. деятельности,48.0,106804662
Транспорт,Специалист,Участие в основ. деятельности,180.0,106804663
Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,144.0,106804664
Торговля,Руководитель среднего звена,Участие в основ. деятельности,12.0,106804665
Нефтегазовая промышленность,Специалист,Кадровая служба и секретариат,48.0,106804666
Металлургия/Промышленность/Машиностроение,Специалист,"Бухгалтерия, финансы, планир.",10.0,106804667
Торговля,Рабочий,Участие в основ. деятельности,36.0,106804668
,,,,106804669
Сельское хозяйство,Работник сферы услуг,Участие в основ. деятельности,372.0,106804670
Сельское хозяйство,Рабочий,Участие в основ. деятельности,384.0,106804671
Транспорт,Рабочий,Участие в основ. деятельности,120.0,106804672
Другие сферы,Рабочий,Участие в основ. деятельности,324.0,106804673
Энергетика,Рабочий,Участие в основ. деятельности,120.0,106804674
Транспорт,Рабочий,Вспомогательный техперсонал,48.0,106804675
Торговля,Специалист,Участие в основ. деятельности,12.0,106804676
Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,56.0,106804677
Торговля,Рабочий,Участие в основ. деятельности,12.0,106804678
Здравоохранение,Рабочий,Участие в основ. деятельности,13.0,106804679
Металлургия/Промышленность/Машиностроение,Специалист,Кадровая служба и секретариат,24.0,106804680
ЧОП/Детективная д-ть,Работник сферы услуг,Служба безопасности,6.0,106804681
Другие сферы,Рабочий,Снабжение и сбыт,10.0,106804682
Ресторанный бизнес/Общественное питание,Руководитель низшего звена,Участие в основ. деятельности,120.0,106804683
Другие сферы,Специалист,Участие в основ. деятельности,38.0,106804684
Другие сферы,Рабочий,Участие в основ. деятельности,324.0,106804685
Торговля,Специалист,Участие в основ. деятельности,24.0,106804686
Здравоохранение,Специалист,Участие в основ. деятельности,19.0,106804687
Здравоохранение,Служащий,Участие в основ. деятельности,65.0,106804688
Наука,Рабочий,Участие в основ. деятельности,204.0,106804689
Государственная служба,Специалист,Участие в основ. деятельности,36.0,106804690
,,,,106804691
,,,,106804692
Сельское хозяйство,Рабочий,Вспомогательный техперсонал,24.0,106804693
Металлургия/Промышленность/Машиностроение,Служащий,Участие в основ. деятельности,24.0,106804694
Строительство,Рабочий,Участие в основ. деятельности,108.0,106804695
Другие сферы,Руководитель низшего звена,Участие в основ. деятельности,60.0,106804696
Торговля,Специалист,Участие в основ. деятельности,60.0,106804697
Государственная служба,Руководитель среднего звена,Участие в основ. деятельности,180.0,106804698
Транспорт,Работник сферы услуг,Участие в основ. деятельности,144.0,106804699
Образование,Специалист,Участие в основ. деятельности,84.0,106804700
Торговля,Служащий,Участие в основ. деятельности,7.0,106804701
Торговля,Работник сферы услуг,Участие в основ. деятельности,54.0,106804702
Коммунальное хоз-во/Дорожные службы,Другое,Участие в основ. деятельности,24.0,106804703
Ресторанный бизнес/Общественное питание,Специалист,Участие в основ. деятельности,72.0,106804704
Торговля,Рабочий,Участие в основ. деятельности,13.0,106804705
Наука,Специалист,Участие в основ. деятельности,180.0,106804706
Строительство,Специалист,Кадровая служба и секретариат,72.0,106804707
Строительство,Специалист,Вспомогательный техперсонал,24.0,106804708
Торговля,Рабочий,Участие в основ. деятельности,180.0,106804709
Другие сферы,Специалист,Участие в основ. деятельности,120.0,106804710
Образование,Рабочий,Участие в основ. деятельности,132.0,106804711
Государственная служба,Служащий,Участие в основ. деятельности,60.0,106804712
,,,,106804713
Торговля,Работник сферы услуг,Участие в основ. деятельности,15.0,106804714
Торговля,Служащий,Участие в основ. деятельности,24.0,106804715
Другие сферы,Специалист,Служба безопасности,24.0,106804716
Сельское хозяйство,Специалист,Участие в основ. деятельности,144.0,106804717
Ресторанный бизнес/Общественное питание,Специалист,Участие в основ. деятельности,18.0,106804718
Салоны красоты и здоровья,Специалист,Участие в основ. деятельности,36.0,106804719
,,,,106804720
Образование,Высококвалифиц. специалист,Участие в основ. деятельности,96.0,106804721
Другие сферы,Специалист,Участие в основ. деятельности,6.0,106804722
Транспорт,Рабочий,Участие в основ. деятельности,18.0,106804723
Здравоохранение,Рабочий,Вспомогательный техперсонал,6.0,106804724
Нефтегазовая промышленность,Рабочий,Участие в основ. деятельности,30.0,106804725
Сельское хозяйство,Руководитель низшего звена,Адм-хоз. и трансп. службы,168.0,106804726
Транспорт,Специалист,Участие в основ. деятельности,216.0,106804727
Торговля,Индивидуальный предприниматель,Участие в основ. деятельности,204.0,106804728
,,,,106804729
Здравоохранение,Служащий,"Бухгалтерия, финансы, планир.",12.0,106804730
Другие сферы,Рабочий,Участие в основ. деятельности,36.0,106804731
Торговля,Специалист,"Бухгалтерия, финансы, планир.",111.0,106804732
Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,72.0,106804733
Торговля,Рабочий,Вспомогательный техперсонал,48.0,106804734
Торговля,Специалист,Пр-техн. обесп. и телеком.,6.0,106804735
Торговля,Работник сферы услуг,Участие в основ. деятельности,12.0,106804736
Другие сферы,Рабочий,Участие в основ. деятельности,72.0,106804737
Транспорт,Работник сферы услуг,Вспомогательный техперсонал,7.0,106804738
Коммунальное хоз-во/Дорожные службы,Специалист,Участие в основ. деятельности,192.0,106804739
,,,,106804740
Транспорт,Рабочий,Участие в основ. деятельности,120.0,106804741
Строительство,Специалист,Участие в основ. деятельности,108.0,106804742
,,,,106804743
Транспорт,Работник сферы услуг,Участие в основ. деятельности,8.0,106804744
Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,36.0,106804745
Сельское хозяйство,Рабочий,Вспомогательный техперсонал,36.0,106804746
,,,,106804747
Юридические услуги/нотариальные услуги,Специалист,Участие в основ. деятельности,89.0,106804748
Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,312.0,106804749
Наука,Специалист,Участие в основ. деятельности,72.0,106804750
Государственная служба,Высококвалифиц. специалист,Участие в основ. деятельности,36.0,106804751
